,Date,Time,PostDialDelay,Disconnect-Cause,Sip-Status,Session-Disposition,Calling-RTP-Packets-Lost,Called-RTP-Packets-Lost,Calling-RTP-Avg-Jitter,Called-RTP-Avg-Jitter,Calling-R-Factor,Called-R-Factor,Calling-MOS,Called-MOS,Ingress-SBC,Egress-SBC,Originating-Trunk-Group,Terminating-Trunk-Group
283500,2014-01-20,2:40:00,467,1,0,ringing,0.0,0.0,24.0,0.0,5424.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,TG8,es-trunk
283501,2014-01-20,2:50:00,393,0,0,ringing,0.0,0.0,3.0,0.0,0.0,0.0,440.0,440.0,Lon-Site,Fran-Site,TG0,TG0
283502,2014-01-20,2:52:00,192,17,0,call-attempt,0.0,0.0,5.0,0.0,5443.0,9287.0,440.0,440.0,Fran-Site,Fran-Site,NoTG,TG0
283503,2014-01-20,3:00:00,307,31,480,answered,14.0,0.0,0.0,0.0,9281.0,9281.0,279.0,439.0,Lon-Site,Lon-Site,NoTG,es-trunk
283504,2014-01-20,3:00:00,240,0,484,answered,6.0,0.0,0.0,0.0,5418.0,9284.0,295.0,440.0,Lon-Site,Fran-Site,NoTG,es-trunk
283505,2014-01-20,3:40:00,447,31,404,answered,35.0,0.0,0.0,0.0,9288.0,9283.0,279.0,0.0,Lon-Site,Fran-Site,TG0,es-trunk
283506,2014-01-20,4:10:00,431,16,0,answered,0.0,0.0,27.0,0.0,0.0,9284.0,439.0,439.0,Fran-Site,Lon-Site,eu-trunk,TG0
283507,2014-01-20,5:00:00,55,0,0,answered,0.0,2.0,0.0,0.0,9281.0,9283.0,279.0,439.0,Lon-Site,Lon-Site,NoTG,TG0
283508,2014-01-20,6:00:00,389,0,0,ringing,0.0,0.0,0.0,0.0,9284.0,0.0,411.0,440.0,Fran-Site,Fran-Site,NoTG,es-trunk
283509,2014-01-20,7:00:00,347,0,0,answered,2.0,4.0,0.0,0.0,5424.0,9287.0,279.0,439.0,Lon-Site,Fran-Site,eu-trunk,TG0
283510,2014-01-20,7:00:00,175,0,0,answered,0.0,0.0,3.0,1.0,5424.0,9288.0,0.0,440.0,Fran-Site,Lon-Site,NoTG,es-trunk
283511,2014-01-20,7:00:00,361,0,486,ringing,0.0,0.0,0.0,0.0,9281.0,9288.0,305.0,440.0,Fran-Site,Lon-Site,NoTG,TG0
283512,2014-01-20,7:00:00,426,0,404,answered,2.0,0.0,4.0,0.0,9284.0,0.0,312.0,440.0,Fran-Site,Lon-Site,NoTG,TG0
283513,2014-01-20,7:30:00,86,0,0,answered,0.0,0.0,6.0,0.0,0.0,9284.0,278.0,0.0,Fran-Site,Lon-Site,TG8,es-trunk
283514,2014-01-20,7:35:00,335,0,486,answered,0.0,0.0,5.0,0.0,9284.0,0.0,279.0,0.0,Lon-Site,Lon-Site,NoTG,TG0
283515,2014-01-20,7:45:00,521,19,0,call-attempt,8.0,0.0,14.0,0.0,9288.0,9284.0,279.0,440.0,Lon-Site,Fran-Site,NoTG,es-trunk
283516,2014-01-20,8:00:00,2277,16,404,answered,0.0,0.0,1.0,0.0,0.0,9287.0,311.0,0.0,Fran-Site,Lon-Site,NoTG,TG0
283517,2014-01-20,8:00:00,521,0,0,answered,0.0,0.0,3.0,0.0,5418.0,9278.0,0.0,0.0,Fran-Site,Lon-Site,NoTG,TG0
283518,2014-01-20,8:00:00,369,0,0,answered,0.0,0.0,0.0,0.0,0.0,9284.0,281.0,440.0,Fran-Site,Lon-Site,NoTG,es-trunk
283519,2014-01-20,8:00:00,528,0,404,answered,0.0,0.0,0.0,0.0,0.0,9283.0,279.0,439.0,Fran-Site,Fran-Site,TG0,es-trunk
283520,2014-01-20,8:10:00,0,0,0,answered,0.0,0.0,4.0,0.0,5418.0,9284.0,280.0,0.0,Lon-Site,Lon-Site,TG1,TG0
283521,2014-01-20,8:30:00,570,0,404,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,0.0,440.0,Lon-Site,Fran-Site,NoTG,NoTG
283522,2014-01-20,8:30:00,626,1,487,answered,0.0,0.0,0.0,0.0,5418.0,9284.0,284.0,439.0,Lon-Site,Lon-Site,NoTG,es-trunk
283523,2014-01-20,8:30:00,175,3,0,answered,0.0,0.0,0.0,0.0,9288.0,9284.0,277.0,440.0,Fran-Site,Lon-Site,NoTG,es-trunk
283524,2014-01-20,8:45:00,352,0,404,answered,0.0,0.0,0.0,0.0,0.0,9281.0,284.0,440.0,Fran-Site,Lon-Site,eu-trunk,es-trunk
283525,2014-01-20,8:45:00,335,0,404,answered,0.0,0.0,28.0,0.0,5443.0,0.0,440.0,440.0,Fran-Site,Lon-Site,NoTG,TG0
283526,2014-01-20,9:00:00,340,0,404,answered,0.0,0.0,1.0,0.0,9288.0,9288.0,0.0,440.0,Fran-Site,Lon-Site,NoTG,TG0
283527,2014-01-20,9:15:00,624,19,0,answered,0.0,0.0,0.0,0.0,9287.0,9286.0,0.0,440.0,Lon-Site,Fran-Site,NoTG,NoTG
283528,2014-01-20,9:30:00,612,28,0,answered,0.0,0.0,0.0,0.0,5418.0,9284.0,0.0,0.0,Fran-Site,Lon-Site,NoTG,es-trunk
283529,2014-01-20,10:00:00,82,3,0,call-attempt,0.0,0.0,0.0,0.0,9320.0,9284.0,279.0,0.0,Lon-Site,Lon-Site,NoTG,es-trunk
283530,2014-01-20,10:00:00,457,0,0,answered,2.0,1.0,6.0,0.0,9173.0,9275.0,440.0,439.0,Lon-Site,Fran-Site,NoTG,TG0
283531,2014-01-20,10:12:00,171,1,404,ringing,24.0,5.0,0.0,0.0,0.0,9284.0,0.0,439.0,Lon-Site,Lon-Site,TG2,TG0
