,Date,Time,PostDialDelay,Disconnect-Cause,Sip-Status,Session-Disposition,Calling-RTP-Packets-Lost,Called-RTP-Packets-Lost,Calling-RTP-Avg-Jitter,Called-RTP-Avg-Jitter,Calling-R-Factor,Called-R-Factor,Calling-MOS,Called-MOS,Ingress-SBC,Egress-SBC,Originating-Trunk-Group,Terminating-Trunk-Group
213200,2015-06-14,19:26:00,156,0,0,ringing,0.0,0.0,7.0,2.0,9287.0,9286.0,440.0,440.0,Lon-Site,Lon-Site,NoTG,es-trunk
213201,2015-06-14,19:30:00,0,0,0,answered,0.0,0.0,0.0,0.0,0.0,9283.0,0.0,0.0,Lon-Site,Fran-Site,NoTG,TG8
213202,2015-06-14,20:00:00,419,0,0,answered,0.0,0.0,0.0,0.0,9320.0,9288.0,0.0,440.0,Fran-Site,Lon-Site,NoTG,es-trunk
213203,2015-06-14,20:00:00,209,0,0,answered,19.0,2.0,0.0,0.0,5418.0,9284.0,0.0,439.0,WaDC-Site,Lon-Site,TG8,es-trunk
213204,2015-06-14,20:00:00,368,0,480,answered,0.0,1.0,0.0,0.0,6138.0,9283.0,437.0,308.0,Lon-Site,Lon-Site,TG5,es-trunk
213205,2015-06-14,20:00:00,115,16,0,ringing,0.0,0.0,0.0,0.0,0.0,0.0,279.0,440.0,Fran-Site,Lon-Site,NoTG,TG0
213206,2015-06-14,20:00:00,360,0,480,call-attempt,0.0,0.0,0.0,0.0,0.0,0.0,437.0,440.0,Lon-Site,Lon-Site,TG1,TG0
213207,2015-06-14,20:06:00,451,19,0,ringing,0.0,0.0,1.0,0.0,9284.0,9286.0,279.0,440.0,Lon-Site,Lon-Site,NoTG,TG0
213208,2015-06-14,20:10:00,322,0,404,ringing,0.0,0.0,0.0,0.0,5449.0,0.0,440.0,440.0,Fran-Site,Fran-Site,TG7,es-trunk
213209,2015-06-14,20:25:00,399,0,487,ringing,0.0,0.0,0.0,0.0,0.0,8584.0,277.0,0.0,Lon-Site,Lon-Site,NoTG,TG0
213210,2015-06-14,20:34:00,76,1,0,ringing,0.0,0.0,2.0,0.0,9281.0,9256.0,279.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
213211,2015-06-14,21:00:00,0,0,0,ringing,0.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,Fran-Site,Lon-Site,NoTG,TG0
213212,2015-06-14,21:00:00,542,0,0,ringing,0.0,0.0,0.0,0.0,9284.0,9287.0,280.0,439.0,Fran-Site,Lon-Site,NoTG,TG0
213213,2015-06-14,21:00:00,948,1,480,answered,7.0,0.0,0.0,1.0,9287.0,9287.0,440.0,440.0,Lon-Site,Fran-Site,eu-trunk,es-trunk
213214,2015-06-14,21:02:00,335,0,0,answered,0.0,0.0,1.0,0.0,9141.0,0.0,279.0,440.0,Fran-Site,Lon-Site,NoTG,TG0
213215,2015-06-14,21:05:00,305,16,0,answered,4.0,0.0,0.0,0.0,5429.0,9284.0,280.0,439.0,Fran-Site,Lon-Site,eu-trunk,es-trunk
213216,2015-06-14,21:15:00,55,0,0,answered,0.0,0.0,3.0,0.0,5424.0,9288.0,279.0,440.0,Lon-Site,Lon-Site,NoTG,es-trunk
213217,2015-06-14,21:30:00,327,0,0,ringing,0.0,0.0,5.0,0.0,0.0,9284.0,411.0,440.0,Fran-Site,Lon-Site,TG5,TG0
213218,2015-06-14,21:30:00,0,1,404,answered,14.0,0.0,0.0,0.0,9284.0,0.0,279.0,440.0,Fran-Site,Lon-Site,NoTG,TG0
213219,2015-06-14,21:35:00,294,0,480,answered,0.0,0.0,23.0,0.0,5418.0,9283.0,437.0,440.0,Lon-Site,Lon-Site,TG5,es-trunk
213220,2015-06-14,21:40:00,228,0,404,answered,0.0,0.0,1.0,0.0,0.0,9288.0,279.0,440.0,Fran-Site,Fran-Site,NoTG,TG0
213221,2015-06-14,22:00:00,328,0,0,answered,0.0,0.0,0.0,1.0,9170.0,9283.0,279.0,440.0,Lon-Site,Lon-Site,NoTG,es-trunk
213222,2015-06-14,22:00:00,354,19,0,answered,0.0,0.0,0.0,0.0,9281.0,0.0,279.0,440.0,Lon-Site,Fran-Site,eu-trunk,TG6
213223,2015-06-14,22:00:00,387,0,487,ringing,0.0,0.0,0.0,0.0,5424.0,0.0,440.0,0.0,Lon-Site,Fran-Site,NoTG,es-trunk
213224,2015-06-14,22:09:00,333,21,0,ringing,0.0,0.0,0.0,2.0,0.0,9285.0,440.0,440.0,Lon-Site,Lon-Site,TG0,es-trunk
213225,2015-06-14,22:25:00,404,0,0,answered,0.0,0.0,0.0,2.0,5418.0,9277.0,279.0,440.0,Fran-Site,Fran-Site,TG0,TG0
213226,2015-06-14,22:25:00,467,0,487,answered,0.0,0.0,0.0,2.0,5418.0,9284.0,279.0,440.0,Lon-Site,Lon-Site,NoTG,TG0
213227,2015-06-14,22:30:00,296,1,0,answered,0.0,0.0,3.0,0.0,9320.0,0.0,437.0,440.0,Lon-Site,Lon-Site,TG0,TG0
213228,2015-06-14,22:37:00,314,16,0,answered,0.0,0.0,0.0,0.0,9288.0,9284.0,320.0,0.0,Fran-Site,Mia-Site,NoTG,TG0
213229,2015-06-14,22:48:00,86,31,0,answered,0.0,0.0,0.0,0.0,9284.0,9283.0,279.0,440.0,Fran-Site,Mia-Site,NoTG,es-trunk
213230,2015-06-13,16:20:00,234,0,0,answered,8.0,0.0,0.0,0.0,9284.0,9267.0,279.0,0.0,Fran-Site,Lon-Site,NoTG,TG0
